demangled	mangled	status	orig_size	tu
CNetworkThread::dispatch(void*)	_ZN14CNetworkThread8dispatchEPv	DIFF	1750	DNFNetworkThread.cpp.o
CNetworkThread::attach(CApplication*)	_ZN14CNetworkThread6attachEP12CApplication	DIFF	82	DNFNetworkThread.cpp.o
CTcpAcceptThread::dispatch(void*)	_ZN16CTcpAcceptThread8dispatchEPv	DIFF	1029	DNFTcpAcceptThread.cpp.o
CTcpHandler::CTcpHandler()	_ZN11CTcpHandlerC1Ev	DIFF	76	DNFTcpHandler.cpp.o
CTcpHandler::CTcpHandler()	_ZN11CTcpHandlerC2Ev	DIFF	76	DNFTcpHandler.cpp.o
CTcpNetworkThread::dispatch(void*)	_ZN17CTcpNetworkThread8dispatchEPv	DIFF	1111	DNFTcpNetworkThread.cpp.o
CFrameCountHandler::GetFrameCountInfo()	_ZN18CFrameCountHandler17GetFrameCountInfoEv	DIFF	892	DNFTickHandler.cpp.o
CFrameCountHandler::InitFrameCountInfo(CApplication*, unsigned int, unsigned short)	_ZN18CFrameCountHandler18InitFrameCountInfoEP12CApplicationjt	DIFF	316	DNFTickHandler.cpp.o
CFrameCountHandler::SaveProcess(int)	_ZN18CFrameCountHandler11SaveProcessEi	DIFF	135	DNFTickHandler.cpp.o
CFrameCountHandler::SaveProcess()	_ZN18CFrameCountHandler11SaveProcessEv	DIFF	128	DNFTickHandler.cpp.o
CUdpHandler::SendToClient(char*, int, unsigned short, char const*, unsigned int) const	_ZNK11CUdpHandler12SendToClientEPcitPKcj	DIFF	777	DNFUdpHandler.cpp.o
CUdpHandler::SendToServer(char*, int, unsigned short, char const*) const	_ZNK11CUdpHandler12SendToServerEPcitPKc	DIFF	635	DNFUdpHandler.cpp.o
CUdpHandler::RecvFromClient(char*, int*, unsigned int*, unsigned short*) const	_ZNK11CUdpHandler14RecvFromClientEPcPiPjPt	DIFF	627	DNFUdpHandler.cpp.o
CUdpHandler::RecvFromServer(char*, int*, unsigned int*, unsigned short*) const	_ZNK11CUdpHandler14RecvFromServerEPcPiPjPt	DIFF	605	DNFUdpHandler.cpp.o
CUdpHandler::InitServerSocket(int)	_ZN11CUdpHandler16InitServerSocketEi	DIFF	440	DNFUdpHandler.cpp.o
CUdpHandler::InitClientSocket()	_ZN11CUdpHandler16InitClientSocketEv	DIFF	162	DNFUdpHandler.cpp.o
CTcpNetSystem::SendPacket()	_ZN13CTcpNetSystem10SendPacketEv	DIFF	753	TcpNetSystem.cpp.o
CTcpNetSystem::OpenTcpService(int&, char const*, unsigned short)	_ZN13CTcpNetSystem14OpenTcpServiceERiPKct	DIFF	433	TcpNetSystem.cpp.o
CTcpNetSystem::SetEpollAcceptedPeers()	_ZN13CTcpNetSystem21SetEpollAcceptedPeersEv	DIFF	412	TcpNetSystem.cpp.o
CTcpNetSystem::Init(unsigned short)	_ZN13CTcpNetSystem4InitEt	DIFF	318	TcpNetSystem.cpp.o
CTcpNetSystem::SetEpollConnectedPeer(CPeer*)	_ZN13CTcpNetSystem21SetEpollConnectedPeerEP5CPeer	DIFF	310	TcpNetSystem.cpp.o
CTcpNetSystem::CleanTcpSendPacketQ()	_ZN13CTcpNetSystem19CleanTcpSendPacketQEv	DIFF	284	TcpNetSystem.cpp.o
CTcpNetSystem::PushTcpSendPacketQ(char*)	_ZN13CTcpNetSystem18PushTcpSendPacketQEPc	DIFF	233	TcpNetSystem.cpp.o
