demangled	mangled	status	orig_size	tu
CDBManager::GuildSecede(Packet_DB_Request_Guild_Secede*, unsigned int&, unsigned int&, unsigned int&)	_ZN10CDBManager11GuildSecedeEP30Packet_DB_Request_Guild_SecedeRjS2_S2_	DIFF	3515	DBManager.cpp.o
CDBManager::QueryPartyCharacStatisticCreate(Packet_DBMW_Dungeon_Statistic_Party_Charac*)	_ZN10CDBManager31QueryPartyCharacStatisticCreateEP42Packet_DBMW_Dungeon_Statistic_Party_Charac	DIFF	1991	DBManager.cpp.o
CDBManager::QueryReloadSpecDb(Packet_Frame_Lag_Statistic_Reload_Spec*, CStatisticsServer*)	_ZN10CDBManager17QueryReloadSpecDbEP38Packet_Frame_Lag_Statistic_Reload_SpecP17CStatisticsServer	DIFF	1700	DBManager.cpp.o
CDBManager::SaveMemberInsert(unsigned int, unsigned int, unsigned char)	_ZN10CDBManager16SaveMemberInsertEjjh	DIFF	1607	DBManager.cpp.o
CDBManager::QueryFirstLoadSpecDb(Packet_Frame_Lag_Statistic_Load_Spec*, CStatisticsServer*)	_ZN10CDBManager20QueryFirstLoadSpecDbEP36Packet_Frame_Lag_Statistic_Load_SpecP17CStatisticsServer	DIFF	1438	DBManager.cpp.o
CDBManager::QueryDeathTowerPlayDataPartyStatisticCreate(Packet_DBMW_DeathTower_Statistic_Playdata_Party*)	_ZN10CDBManager43QueryDeathTowerPlayDataPartyStatisticCreateEP47Packet_DBMW_DeathTower_Statistic_Playdata_Party	DIFF	1258	DBManager.cpp.o
CDBManager::SaveUnchangableGuildInfo(Packet_UnChangable_GuildInfo_Save*)	_ZN10CDBManager24SaveUnchangableGuildInfoEP33Packet_UnChangable_GuildInfo_Save	DIFF	1048	DBManager.cpp.o
CDBManager::updateNexonPinPcRoomPlayTimeEvent(unsigned char, unsigned int, unsigned int&, char*, unsigned int)	_ZN10CDBManager33updateNexonPinPcRoomPlayTimeEventEhjRjPcj	DIFF	913	DBManager.cpp.o
CDBManager::QueryTodayGuildMember(unsigned int, Packet_Reply_Today_Guild_Member&)	_ZN10CDBManager21QueryTodayGuildMemberEjR31Packet_Reply_Today_Guild_Member	DIFF	906	DBManager.cpp.o
CDBManager::loadLimitNpcBuyItemInfo(LimitNpcBuyItemRequestInfo*, LimitNpcBuyItemResultInfo*)	_ZN10CDBManager23loadLimitNpcBuyItemInfoEP26LimitNpcBuyItemRequestInfoP25LimitNpcBuyItemResultInfo	DIFF	900	DBManager.cpp.o
CDBManager::OnWriteGuildBoard(Packet_DB_Load_Request_Guild_Board_Write*, STGuildBoardDBInfo*)	_ZN10CDBManager17OnWriteGuildBoardEP40Packet_DB_Load_Request_Guild_Board_WriteP18STGuildBoardDBInfo	DIFF	775	DBManager.cpp.o
CDBManager::OnInsertGuildCargoHistory(Packet_DB_Insert_Guild_Cargo_History*)	_ZN10CDBManager25OnInsertGuildCargoHistoryEP36Packet_DB_Insert_Guild_Cargo_History	DIFF	763	DBManager.cpp.o
CDBManager::SendGuildCoinByMail(int, unsigned int, unsigned int, unsigned int, int, char*, char*)	_ZN10CDBManager19SendGuildCoinByMailEijjjiPcS0_	DIFF	737	DBManager.cpp.o
CDBManager::OnSecretShopStatistic(Packet_Secret_Shop_Statistic*)	_ZN10CDBManager21OnSecretShopStatisticEP28Packet_Secret_Shop_Statistic	DIFF	678	DBManager.cpp.o
CDBManager::QueryCharacNoByName(char*, unsigned int&, int*)	_ZN10CDBManager19QueryCharacNoByNameEPcRjPi	DIFF	641	DBManager.cpp.o
