demangled	mangled	status	orig_size	tu
CDBManager::QueryGuildCreate(Packet_DBMW_Request_Guild_Create*, unsigned int&, unsigned int&)	_ZN10CDBManager16QueryGuildCreateEP32Packet_DBMW_Request_Guild_CreateRjS2_	DIFF	2463	DBManager.cpp.o
CDBManager::QueryPartyStatisticCreate(Packet_DBMW_Dungeon_Statistic_Party*)	_ZN10CDBManager25QueryPartyStatisticCreateEP35Packet_DBMW_Dungeon_Statistic_Party	DIFF	2259	DBManager.cpp.o
CDBManager::onItemLimitEditionLoadData(Packet_Item_Limit_Edition_Load_Data_Req const*, Packet_Item_Limit_Edition_Load_Data_Rpy*)	_ZN10CDBManager26onItemLimitEditionLoadDataEPK39Packet_Item_Limit_Edition_Load_Data_ReqP39Packet_Item_Limit_Edition_Load_Data_Rpy	DIFF	1793	DBManager.cpp.o
CDBManager::OnGuildJoinByListApprove(unsigned int, char, unsigned int, unsigned int, STGuildJoinInfo&, unsigned int&)	_ZN10CDBManager24OnGuildJoinByListApproveEjcjjR15STGuildJoinInfoRj	NEAR	1627	DBManager.cpp.o
CDBManager::RegisterToBlackList(unsigned int, unsigned int, char*)	_ZN10CDBManager19RegisterToBlackListEjjPc	DIFF	1531	DBManager.cpp.o
CDBManager::QueryDeathTowerPlayDataJobStatisticCreate(Packet_DBMW_DeathTower_Statistic_Playdata_Job*)	_ZN10CDBManager41QueryDeathTowerPlayDataJobStatisticCreateEP45Packet_DBMW_DeathTower_Statistic_Playdata_Job	DIFF	1402	DBManager.cpp.o
CDBManager::UpdateDisjointAvatarStatistic(Packet_Avater_Disjoint_Statistic_DB*)	_ZN10CDBManager29UpdateDisjointAvatarStatisticEP35Packet_Avater_Disjoint_Statistic_DB	DIFF	1117	DBManager.cpp.o
CDBManager::QueryCubeStatisticCreate(Packet_DBMW_Cube_Statistic*)	_ZN10CDBManager24QueryCubeStatisticCreateEP26Packet_DBMW_Cube_Statistic	DIFF	987	DBManager.cpp.o
CDBManager::selectCollectItems(unsigned char, int&, int&, unsigned int&, unsigned char&)	_ZN10CDBManager18selectCollectItemsEhRiS0_RjRh	DIFF	912	DBManager.cpp.o
CDBManager::OnSaveAssertManagerInfoWrite(Packet_DBMW_Assert_Manager_Info_Write_Query*)	_ZN10CDBManager28OnSaveAssertManagerInfoWriteEP43Packet_DBMW_Assert_Manager_Info_Write_Query	DIFF	902	DBManager.cpp.o
CDBManager::QueryDeathTowerValueStatisticCreate(Packet_DBMW_DeathTower_Statistic_Value*)	_ZN10CDBManager35QueryDeathTowerValueStatisticCreateEP38Packet_DBMW_DeathTower_Statistic_Value	DIFF	876	DBManager.cpp.o
CDBManager::QueryGuildWarPointList(int, CGuildManager*)	_ZN10CDBManager22QueryGuildWarPointListEiP13CGuildManager	DIFF	774	DBManager.cpp.o
CDBManager::SendGuildLetter(int, unsigned int, char*)	_ZN10CDBManager15SendGuildLetterEijPc	DIFF	761	DBManager.cpp.o
CDBManager::QueryBuddyInfo(unsigned int, STBuddyDBInfo*, unsigned char&)	_ZN10CDBManager14QueryBuddyInfoEjP13STBuddyDBInfoRh	DIFF	705	DBManager.cpp.o
CDBManager::OnLoadPeriodicMessage(Packet_Load_Periodic_Message*, Packet_Result_Loading_Periodic_Message*)	_ZN10CDBManager21OnLoadPeriodicMessageEP28Packet_Load_Periodic_MessageP38Packet_Result_Loading_Periodic_Message	DIFF	662	DBManager.cpp.o
CDBManager::QueryHellPartyStatisticItemCreate(Packet_DBMW_HellParty_Statistic_Item*)	_ZN10CDBManager33QueryHellPartyStatisticItemCreateEP36Packet_DBMW_HellParty_Statistic_Item	DIFF	633	DBManager.cpp.o
CDBManager::OnSavePowerWarBonusPoint(Packet_DB_Save_Power_War_Bonus_Point*)	_ZN10CDBManager24OnSavePowerWarBonusPointEP36Packet_DB_Save_Power_War_Bonus_Point	DIFF	593	DBManager.cpp.o
CDBManager::QueryBlackList(unsigned int, STBlackUserDBType*)	_ZN10CDBManager14QueryBlackListEjP17STBlackUserDBType	DIFF	552	DBManager.cpp.o
CDBManager::SaveGuildMember(unsigned char, unsigned int, STGuildMemerDBInfo&, unsigned int, unsigned char)	_ZN10CDBManager15SaveGuildMemberEhjR18STGuildMemerDBInfojh	DIFF	537	DBManager.cpp.o
