demangled	mangled	status	orig_size	tu
_ZN10CDBManager20RegisterQueryIdTableEiPKc	_ZN10CDBManager20RegisterQueryIdTableEiPKc	DIFF	0xb2	DBManager.cpp
_ZN10CDBManager18ChangePvPBuddyNameEP28Packet_DBMW_Change_Char_Name	_ZN10CDBManager18ChangePvPBuddyNameEP28Packet_DBMW_Change_Char_Name	DIFF	0xe3	DBManager.cpp
_ZN10CDBManager20updateCollectItemsGmEhiij	_ZN10CDBManager20updateCollectItemsGmEhiij	DIFF	0x11b	DBManager.cpp
_ZN10CDBManager20OnSaveFatigueBatteryEP43Packet_DBMW_Fatigue_Battery_Money_Statistic	_ZN10CDBManager20OnSaveFatigueBatteryEP43Packet_DBMW_Fatigue_Battery_Money_Statistic	DIFF	0x127	DBManager.cpp
_ZN10CDBManager21GetMinTimeServerGroupEi	_ZN10CDBManager21GetMinTimeServerGroupEi	DIFF	0x12f	DBManager.cpp
_ZN10CDBManager23OnSaveLoadingTimeReportEP31Packet_DBMW_Loading_Time_Report	_ZN10CDBManager23OnSaveLoadingTimeReportEP31Packet_DBMW_Loading_Time_Report	DIFF	0x134	DBManager.cpp
_ZN10CDBManager16OnLoadGuildCargoEjR29Packet_Guild_Load_Guild_Cargo	_ZN10CDBManager16OnLoadGuildCargoEjR29Packet_Guild_Load_Guild_Cargo	DIFF	0x146	DBManager.cpp
_ZN10CDBManager26UpdateAccumulateGuildPointEi	_ZN10CDBManager26UpdateAccumulateGuildPointEi	DIFF	0x151	DBManager.cpp
_ZN17STGuildDBInfoOnlyC2Ev	_ZN17STGuildDBInfoOnlyC2Ev	DIFF	0x16f	DBManager.cpp
_ZN10CDBManager10InsertMailEjPcS0_jjii	_ZN10CDBManager10InsertMailEjPcS0_jjii	DIFF	0x192	DBManager.cpp
_ZN10CDBManager18updateCollectItemsEhijh	_ZN10CDBManager18updateCollectItemsEhijh	DIFF	0x1a7	DBManager.cpp
_ZN10CDBManager24QueryUpdateChannelOccNumEP27Packet_User_Count_Statistic	_ZN10CDBManager24QueryUpdateChannelOccNumEP27Packet_User_Count_Statistic	DIFF	0x1be	DBManager.cpp
_ZN10CDBManager22OnSavePowerWarUserRankEP34Packet_DB_Save_Power_War_User_Rank	_ZN10CDBManager22OnSavePowerWarUserRankEP34Packet_DB_Save_Power_War_User_Rank	DIFF	0x1df	DBManager.cpp
_ZN10CDBManager28QueryTowerOfDespairStatisticEP35Packet_TowerOfDespair_Statistic_STD	_ZN10CDBManager28QueryTowerOfDespairStatisticEP35Packet_TowerOfDespair_Statistic_STD	DIFF	0x1fd	DBManager.cpp
_ZN10CDBManager20OnWriteWebGuildBoardEP44Packet_DB_Load_Request_Web_Guild_Board_WriteP18STGuildBoardDBInfo	_ZN10CDBManager20OnWriteWebGuildBoardEP44Packet_DB_Load_Request_Web_Guild_Board_WriteP18STGuildBoardDBInfo	DIFF	0x213	DBManager.cpp
_ZN10CDBManager14QueryBlackListEjP17STBlackUserDBType	_ZN10CDBManager14QueryBlackListEjP17STBlackUserDBType	DIFF	0x228	DBManager.cpp
_ZN10CDBManager21QueryGuildMemberProxyEjjR18STGuildMemberProxy	_ZN10CDBManager21QueryGuildMemberProxyEjjR18STGuildMemberProxy	DIFF	0x25b	DBManager.cpp
_ZN10CDBManager18GetCoinEventPerDayEiiRiS0_	_ZN10CDBManager18GetCoinEventPerDayEiiRiS0_	DIFF	0x28a	DBManager.cpp
_ZN10CDBManager14QueryBuddyInfoEjP13STBuddyDBInfoRh	_ZN10CDBManager14QueryBuddyInfoEjP13STBuddyDBInfoRh	DIFF	0x2c1	DBManager.cpp
_ZN10CDBManager25OnInsertGuildCargoHistoryEP36Packet_DB_Insert_Guild_Cargo_History	_ZN10CDBManager25OnInsertGuildCargoHistoryEP36Packet_DB_Insert_Guild_Cargo_History	DIFF	0x2fb	DBManager.cpp
_ZN17CPacketTranslater35OnChangeUnconnectedGuildMemberGradeEP12PacketHeader	_ZN17CPacketTranslater35OnChangeUnconnectedGuildMemberGradeEP12PacketHeader	DIFF	0x368	DBManager.cpp
_ZN10CDBManager28OnSaveAssertManagerInfoWriteEP43Packet_DBMW_Assert_Manager_Info_Write_Query	_ZN10CDBManager28OnSaveAssertManagerInfoWriteEP43Packet_DBMW_Assert_Manager_Info_Write_Query	DIFF	0x386	DBManager.cpp
_ZN10CDBManager33updateNexonPinPcRoomPlayTimeEventEhjRjPcj	_ZN10CDBManager33updateNexonPinPcRoomPlayTimeEventEhjRjPcj	DIFF	0x391	DBManager.cpp
_ZN10CDBManager8AddBuddyEjPcR13STBuddyDBInfoRi	_ZN10CDBManager8AddBuddyEjPcR13STBuddyDBInfoRi	DIFF	0x441	DBManager.cpp
_ZN10CDBManager41QueryDeathTowerPlayDataJobStatisticCreateEP45Packet_DBMW_DeathTower_Statistic_Playdata_Job	_ZN10CDBManager41QueryDeathTowerPlayDataJobStatisticCreateEP45Packet_DBMW_DeathTower_Statistic_Playdata_Job	DIFF	0x57a	DBManager.cpp
_ZN10CDBManager16SaveMemberInsertEjjh	_ZN10CDBManager16SaveMemberInsertEjjh	DIFF	0x647	DBManager.cpp
_ZN10CDBManager28QueryPartyJobStatisticCreateEP39Packet_DBMW_Dungeon_Statistic_Party_Job	_ZN10CDBManager28QueryPartyJobStatisticCreateEP39Packet_DBMW_Dungeon_Statistic_Party_Job	DIFF	0x6c9	DBManager.cpp
_ZN10CDBManager25QueryPartyStatisticCreateEP35Packet_DBMW_Dungeon_Statistic_Party	_ZN10CDBManager25QueryPartyStatisticCreateEP35Packet_DBMW_Dungeon_Statistic_Party	DIFF	0x8d3	DBManager.cpp
