demangled	mangled	status	orig_size	tu
_ZN10CDBManager18OnUpgradeGuildAgitEP28Packet_DB_Upgrade_Guild_AgitR34Packet_DB_Upgrade_Guild_Agit_Reply	_ZN10CDBManager18OnUpgradeGuildAgitEP28Packet_DB_Upgrade_Guild_AgitR34Packet_DB_Upgrade_Guild_Agit_Reply	DIFF	0xbb	DBManager.cpp
_ZN10CDBManager27UpdateCreateEmblemStatisticEP33Packet_Emblem_Create_Statistic_DB	_ZN10CDBManager27UpdateCreateEmblemStatisticEP33Packet_Emblem_Create_Statistic_DB	DIFF	0xef	DBManager.cpp
_ZN10CDBManager17QueryInsertUpdateEP18PacketInsertUpdate	_ZN10CDBManager17QueryInsertUpdateEP18PacketInsertUpdate	DIFF	0x120	DBManager.cpp
_ZN10CDBManager25updateLimitNpcBuyItemInfoEP21LimitNpcBuyItemUpdate	_ZN10CDBManager25updateLimitNpcBuyItemInfoEP21LimitNpcBuyItemUpdate	DIFF	0x127	DBManager.cpp
_ZN10CDBManager21updateServerGameEventEP30Packet_StopGameEventFromServer	_ZN10CDBManager21updateServerGameEventEP30Packet_StopGameEventFromServer	DIFF	0x12f	DBManager.cpp
_ZN10CDBManager24OnManagerEventTriggerAckEP32Packet_Manager_Event_Trigger_Ack	_ZN10CDBManager24OnManagerEventTriggerAckEP32Packet_Manager_Event_Trigger_Ack	DIFF	0x143	DBManager.cpp
_ZN10CDBManager16LoadQueryIdTableEv	_ZN10CDBManager16LoadQueryIdTableEv	DIFF	0x14c	DBManager.cpp
_ZN10CDBManager28onItemLimitEditionUpdateDataEPK32Packet_Item_Limit_Edition_Update	_ZN10CDBManager28onItemLimitEditionUpdateDataEPK32Packet_Item_Limit_Edition_Update	DIFF	0x164	DBManager.cpp
_ZN10CDBManager13SaveGuildInfoEhjR17STGuildDBInfoOnly	_ZN10CDBManager13SaveGuildInfoEhjR17STGuildDBInfoOnly	DIFF	0x172	DBManager.cpp
_ZN10CDBManager14SaveGuildSkillEhjR17STGuildDBInfoOnly	_ZN10CDBManager14SaveGuildSkillEhjR17STGuildDBInfoOnly	DIFF	0x198	DBManager.cpp
_ZN10CDBManager17QueryGuildBootingER38Packet_DB_Query_Reply_On_Guild_Bootingi	_ZN10CDBManager17QueryGuildBootingER38Packet_DB_Query_Reply_On_Guild_Bootingi	DIFF	0x1b3	DBManager.cpp
_ZN10CDBManager17SavePowerWarPointEP30Packet_DB_Save_Power_War_Point	_ZN10CDBManager17SavePowerWarPointEP30Packet_DB_Save_Power_War_Point	DIFF	0x1c3	DBManager.cpp
_ZN10CDBManager25QueryOnTimeEventIdxUpdateEP34Packet_Req_Ontime_Event_Idx_Update	_ZN10CDBManager25QueryOnTimeEventIdxUpdateEP34Packet_Req_Ontime_Event_Idx_Update	DIFF	0x1e0	DBManager.cpp
_ZN10CDBManager29QueryErrorLineStatisticCreateEP37Packet_DBMW_Save_Error_Line_Statistic	_ZN10CDBManager29QueryErrorLineStatisticCreateEP37Packet_DBMW_Save_Error_Line_Statistic	DIFF	0x200	DBManager.cpp
_ZN10CDBManager15SaveGuildMemberEhjR18STGuildMemerDBInfojh	_ZN10CDBManager15SaveGuildMemberEhjR18STGuildMemerDBInfojh	DIFF	0x219	DBManager.cpp
_ZN10CDBManager15UpdateGuildRankEiP13CGuildManager	_ZN10CDBManager15UpdateGuildRankEiP13CGuildManager	DIFF	0x231	DBManager.cpp
_ZN10CDBManager19GuildMasterDelegateEijjjjPc	_ZN10CDBManager19GuildMasterDelegateEijjjjPc	DIFF	0x266	DBManager.cpp
_ZN10CDBManager21OnLoadPeriodicMessageEP28Packet_Load_Periodic_MessageP38Packet_Result_Loading_Periodic_Message	_ZN10CDBManager21OnLoadPeriodicMessageEP28Packet_Load_Periodic_MessageP38Packet_Result_Loading_Periodic_Message	DIFF	0x296	DBManager.cpp
_ZN10CDBManager19SendGuildCoinByMailEijjjiPcS0_	_ZN10CDBManager19SendGuildCoinByMailEijjjiPcS0_	DIFF	0x2e1	DBManager.cpp
_ZN10CDBManager16OnLoadGuildBoardEiRiP18STGuildBoardDBInfo	_ZN10CDBManager16OnLoadGuildBoardEiRiP18STGuildBoardDBInfo	DIFF	0x2fd	DBManager.cpp
_ZN10CDBManager35QueryDeathTowerValueStatisticCreateEP38Packet_DBMW_DeathTower_Statistic_Value	_ZN10CDBManager35QueryDeathTowerValueStatisticCreateEP38Packet_DBMW_DeathTower_Statistic_Value	DIFF	0x36c	DBManager.cpp
_ZN10CDBManager17DeleteToBlackListEjj	_ZN10CDBManager17DeleteToBlackListEjj	DIFF	0x38a	DBManager.cpp
_ZN10CDBManager25QueryGuildAllMembersProxyEjP18STGuildMemberProxyRt	_ZN10CDBManager25QueryGuildAllMembersProxyEjP18STGuildMemberProxyRt	DIFF	0x3cb	DBManager.cpp
_ZN10CDBManager29UpdateDisjointAvatarStatisticEP35Packet_Avater_Disjoint_Statistic_DB	_ZN10CDBManager29UpdateDisjointAvatarStatisticEP35Packet_Avater_Disjoint_Statistic_DB	DIFF	0x45d	DBManager.cpp
_ZN10CDBManager20QueryFirstLoadSpecDbEP36Packet_Frame_Lag_Statistic_Load_SpecP17CStatisticsServer	_ZN10CDBManager20QueryFirstLoadSpecDbEP36Packet_Frame_Lag_Statistic_Load_SpecP17CStatisticsServer	DIFF	0x59e	DBManager.cpp
_ZN10CDBManager24InsertFrameLagStatisticsEP42Packet_Frame_Lag_Statistic_Write_Lag_IndexP17CStatisticsServer	_ZN10CDBManager24InsertFrameLagStatisticsEP42Packet_Frame_Lag_Statistic_Write_Lag_IndexP17CStatisticsServer	DIFF	0x654	DBManager.cpp
_ZN10CDBManager26onItemLimitEditionLoadDataEPK39Packet_Item_Limit_Edition_Load_Data_ReqP39Packet_Item_Limit_Edition_Load_Data_Rpy	_ZN10CDBManager26onItemLimitEditionLoadDataEPK39Packet_Item_Limit_Edition_Load_Data_ReqP39Packet_Item_Limit_Edition_Load_Data_Rpy	DIFF	0x701	DBManager.cpp
_ZN10CDBManager16QueryGuildCreateEP32Packet_DBMW_Request_Guild_CreateRjS2_	_ZN10CDBManager16QueryGuildCreateEP32Packet_DBMW_Request_Guild_CreateRjS2_	DIFF	0x99f	DBManager.cpp
