demangled	mangled	status	orig_size	tu
_ZN10CDBManager14ChangeCharNameEP28Packet_DBMW_Change_Char_Name	_ZN10CDBManager14ChangeCharNameEP28Packet_DBMW_Change_Char_Name	DIFF	0xda	DBManager.cpp
_ZN10CDBManager25OnSavePowerWarPointRewardEP37Packet_DB_Save_Power_War_Point_Reward	_ZN10CDBManager25OnSavePowerWarPointRewardEP37Packet_DB_Save_Power_War_Point_Reward	DIFF	0x101	DBManager.cpp
_ZN10CDBManager21QueryGuildNotiMessageEhjR27Packet_DB_Reply_Query_Guild	_ZN10CDBManager21QueryGuildNotiMessageEhjR27Packet_DB_Reply_Query_Guild	DIFF	0x125	DBManager.cpp
_ZN10CDBManager24insertHolePunchingResultEP38Packet_GameServer2Statisctics2DBServer	_ZN10CDBManager24insertHolePunchingResultEP38Packet_GameServer2Statisctics2DBServer	DIFF	0x12a	DBManager.cpp
_ZN10CDBManager29GetMaxHuntingPointServerGroupEi	_ZN10CDBManager29GetMaxHuntingPointServerGroupEi	DIFF	0x12f	DBManager.cpp
_ZN10CDBManager17OnServerMatchDataEP29Packet_Server_Match_data_DBMW	_ZN10CDBManager17OnServerMatchDataEP29Packet_Server_Match_data_DBMW	DIFF	0x145	DBManager.cpp
_ZN10CDBManager21insertServerGameEventEP31Packet_StartGameEventFromServer	_ZN10CDBManager21insertServerGameEventEP31Packet_StartGameEventFromServer	DIFF	0x14f	DBManager.cpp
_ZN10CDBManager22OnWriteGuildMemberMemoEP33Packet_DB_Write_Guild_Member_Memo	_ZN10CDBManager22OnWriteGuildMemberMemoEP33Packet_DB_Write_Guild_Member_Memo	DIFF	0x16b	DBManager.cpp
_ZN10CDBManager15OnLoadGuildAgitEP25Packet_DB_Load_Guild_AgitR28Packet_Guild_Load_Guild_Agit	_ZN10CDBManager15OnLoadGuildAgitEP25Packet_DB_Load_Guild_AgitR28Packet_Guild_Load_Guild_Agit	DIFF	0x176	DBManager.cpp
_ZN10CDBManager12InsertLetterEjjPKcS1_Ril	_ZN10CDBManager12InsertLetterEjjPKcS1_Ril	DIFF	0x199	DBManager.cpp
_ZN10CDBManager19QuerySubGuildMasterEhjR27Packet_DB_Reply_Query_Guild	_ZN10CDBManager19QuerySubGuildMasterEhjR27Packet_DB_Reply_Query_Guild	DIFF	0x1b3	DBManager.cpp
_ZN10CDBManager26OnMemberDeleteAsCharDeleteEj	_ZN10CDBManager26OnMemberDeleteAsCharDeleteEj	DIFF	0x1c3	DBManager.cpp
_ZN10CDBManager24OnGoldcardEventStatisticEP35Packet_Goldcard_Event_Statistic_STD	_ZN10CDBManager24OnGoldcardEventStatisticEP35Packet_Goldcard_Event_Statistic_STD	DIFF	0x1e2	DBManager.cpp
_ZN10CDBManager26OnSavePowerWarStatueRankerEP38Packet_DB_Save_Power_War_Statue_Ranker	_ZN10CDBManager26OnSavePowerWarStatueRankerEP38Packet_DB_Save_Power_War_Statue_Ranker	DIFF	0x201	DBManager.cpp
_ZN10CDBManager16QueryGuildMemberEhjR34Packet_DB_Reply_Query_Guild_Member	_ZN10CDBManager16QueryGuildMemberEhjR34Packet_DB_Reply_Query_Guild_Member	DIFF	0x21a	DBManager.cpp
_ZN10CDBManager25OnSavePacketOverflowWriteEP37Packet_DBMW_Packet_Overflow_Statistic	_ZN10CDBManager25OnSavePacketOverflowWriteEP37Packet_DBMW_Packet_Overflow_Statistic	DIFF	0x24b	DBManager.cpp
_ZN10CDBManager33QueryHellPartyStatisticItemCreateEP36Packet_DBMW_HellParty_Statistic_Item	_ZN10CDBManager33QueryHellPartyStatisticItemCreateEP36Packet_DBMW_HellParty_Statistic_Item	DIFF	0x279	DBManager.cpp
_ZN10CDBManager21OnSecretShopStatisticEP28Packet_Secret_Shop_Statistic	_ZN10CDBManager21OnSecretShopStatisticEP28Packet_Secret_Shop_Statistic	DIFF	0x2a6	DBManager.cpp
_ZN10CDBManager21AwardGuildTitleByMailEijjPcj	_ZN10CDBManager21AwardGuildTitleByMailEijjPcj	DIFF	0x2f6	DBManager.cpp
_ZN10CDBManager22QueryGuildWarPointListEiP13CGuildManager	_ZN10CDBManager22QueryGuildWarPointListEiP13CGuildManager	DIFF	0x306	DBManager.cpp
_ZN10CDBManager23OnLoadGuildCargoHistoryEjR37Packet_Guild_Load_Guild_Cargo_History	_ZN10CDBManager23OnLoadGuildCargoHistoryEjR37Packet_Guild_Load_Guild_Cargo_History	DIFF	0x384	DBManager.cpp
_ZN10CDBManager21QueryTodayGuildMemberEjR31Packet_Reply_Today_Guild_Member	_ZN10CDBManager21QueryTodayGuildMemberEjR31Packet_Reply_Today_Guild_Member	DIFF	0x38a	DBManager.cpp
_ZN10CDBManager24QueryCubeStatisticCreateEP26Packet_DBMW_Cube_Statistic	_ZN10CDBManager24QueryCubeStatisticCreateEP26Packet_DBMW_Cube_Statistic	DIFF	0x3db	DBManager.cpp
_ZN10CDBManager43QueryDeathTowerPlayDataPartyStatisticCreateEP47Packet_DBMW_DeathTower_Statistic_Playdata_Party	_ZN10CDBManager43QueryDeathTowerPlayDataPartyStatisticCreateEP47Packet_DBMW_DeathTower_Statistic_Playdata_Party	DIFF	0x4ea	DBManager.cpp
_ZN10CDBManager17QueryHWspecCreateEP38Packet_DBMW_Save_Client_Spec_Statistic	_ZN10CDBManager17QueryHWspecCreateEP38Packet_DBMW_Save_Client_Spec_Statistic	DIFF	0x5d8	DBManager.cpp
_ZN10CDBManager24OnGuildJoinByListApproveEjcjjR15STGuildJoinInfoRj	_ZN10CDBManager24OnGuildJoinByListApproveEjcjjR15STGuildJoinInfoRj	NEAR	0x65b	DBManager.cpp
_ZN10CDBManager31QueryPartyCharacStatisticCreateEP42Packet_DBMW_Dungeon_Statistic_Party_Charac	_ZN10CDBManager31QueryPartyCharacStatisticCreateEP42Packet_DBMW_Dungeon_Statistic_Party_Charac	DIFF	0x7c7	DBManager.cpp
_ZN10CDBManager11QueryMemberEjR28Packet_DB_Reply_Query_Member	_ZN10CDBManager11QueryMemberEjR28Packet_DB_Reply_Query_Member	DIFF	0xb7a	DBManager.cpp
