demangled	mangled	status	orig_size	tu
_ZN10CDBManager18OnUpdateGuildCargoEP28Packet_DB_Update_Guild_Cargo	_ZN10CDBManager18OnUpdateGuildCargoEP28Packet_DB_Update_Guild_Cargo	DIFF	0xde	DBManager.cpp
_ZN10CDBManager23InsertUdpCharacteristicEP25Packet_Udp_Characteristic	_ZN10CDBManager23InsertUdpCharacteristicEP25Packet_Udp_Characteristic	DIFF	0x114	DBManager.cpp
_ZN10CDBManager16SaveMemberDeleteEjjh	_ZN10CDBManager16SaveMemberDeleteEjjh	DIFF	0x127	DBManager.cpp
_ZN10CDBManager22OnStatisticLoginLogoutEP34Packet_DBMW_Statistic_Login_Logout	_ZN10CDBManager22OnStatisticLoginLogoutEP34Packet_DBMW_Statistic_Login_Logout	DIFF	0x12e	DBManager.cpp
_ZN10CDBManager22GetVillageAttackedRankEP29Packet_DB_VillageAttackedRankRbRiS3_	_ZN10CDBManager22GetVillageAttackedRankEP29Packet_DB_VillageAttackedRankRbRiS3_	DIFF	0x130	DBManager.cpp
_ZN10CDBManager21SaveGuildWarPointListEiPjS0_	_ZN10CDBManager21SaveGuildWarPointListEiPjS0_	DIFF	0x145	DBManager.cpp
_ZN10CDBManager21UpdateResetGuildPointEi	_ZN10CDBManager21UpdateResetGuildPointEi	DIFF	0x151	DBManager.cpp
_ZN17STGuildDBInfoOnlyC1Ev	_ZN17STGuildDBInfoOnlyC1Ev	DIFF	0x16f	DBManager.cpp
_ZN10CDBManager24UpdateRandomboxStatisticEP29Packet_Randombox_statistic_DB	_ZN10CDBManager24UpdateRandomboxStatisticEP29Packet_Randombox_statistic_DB	DIFF	0x176	DBManager.cpp
_ZN10CDBManager27QueryGuildMemberGradeByNameEhjPcRhRjS2_	_ZN10CDBManager27QueryGuildMemberGradeByNameEhjPcRhRjS2_	DIFF	0x199	DBManager.cpp
_ZN10CDBManager23OnSavePowerWarGuildRankEP35Packet_DB_Save_Power_War_Guild_Rank	_ZN10CDBManager23OnSavePowerWarGuildRankEP35Packet_DB_Save_Power_War_Guild_Rank	DIFF	0x1bc	DBManager.cpp
_ZN10CDBManager24ChangeGuildNotifyMessageEijPc	_ZN10CDBManager24ChangeGuildNotifyMessageEijPc	DIFF	0x1dd	DBManager.cpp
_ZN10CDBManager18QueryP2PStatisticsEP21Packet_P2P_Statistics	_ZN10CDBManager18QueryP2PStatisticsEP21Packet_P2P_Statistics	DIFF	0x1e6	DBManager.cpp
_ZN10CDBManager15QueryGuildSkillEhjR27Packet_DB_Reply_Query_Guild	_ZN10CDBManager15QueryGuildSkillEhjR27Packet_DB_Reply_Query_Guild	DIFF	0x20d	DBManager.cpp
_ZN10CDBManager19QueryGuildPointListEiP13CGuildManager	_ZN10CDBManager19QueryGuildPointListEiP13CGuildManager	DIFF	0x224	DBManager.cpp
_ZN10CDBManager24OnSavePowerWarBonusPointEP36Packet_DB_Save_Power_War_Bonus_Point	_ZN10CDBManager24OnSavePowerWarBonusPointEP36Packet_DB_Save_Power_War_Bonus_Point	DIFF	0x251	DBManager.cpp
_ZN10CDBManager19QueryCharacNoByNameEPcRjPi	_ZN10CDBManager19QueryCharacNoByNameEPcRjPi	DIFF	0x281	DBManager.cpp
_ZN10CDBManager24updateCompatibilityIndexEP31Packet_Stat_Compatibility_Index	_ZN10CDBManager24updateCompatibilityIndexEP31Packet_Stat_Compatibility_Index	DIFF	0x2a7	DBManager.cpp
_ZN10CDBManager15SendGuildLetterEijPc	_ZN10CDBManager15SendGuildLetterEijPc	DIFF	0x2f9	DBManager.cpp
_ZN10CDBManager17OnWriteGuildBoardEP40Packet_DB_Load_Request_Guild_Board_WriteP18STGuildBoardDBInfo	_ZN10CDBManager17OnWriteGuildBoardEP40Packet_DB_Load_Request_Guild_Board_WriteP18STGuildBoardDBInfo	DIFF	0x307	DBManager.cpp
_ZN10CDBManager23loadLimitNpcBuyItemInfoEP26LimitNpcBuyItemRequestInfoP25LimitNpcBuyItemResultInfo	_ZN10CDBManager23loadLimitNpcBuyItemInfoEP26LimitNpcBuyItemRequestInfoP25LimitNpcBuyItemResultInfo	DIFF	0x384	DBManager.cpp
_ZN10CDBManager18selectCollectItemsEhRiS0_RjRh	_ZN10CDBManager18selectCollectItemsEhRiS0_RjRh	DIFF	0x390	DBManager.cpp
_ZN10CDBManager24SaveUnchangableGuildInfoEP33Packet_UnChangable_GuildInfo_Save	_ZN10CDBManager24SaveUnchangableGuildInfoEP33Packet_UnChangable_GuildInfo_Save	DIFF	0x418	DBManager.cpp
_ZN10CDBManager10QueryGuildEhjR27Packet_DB_Reply_Query_Guild	_ZN10CDBManager10QueryGuildEhjR27Packet_DB_Reply_Query_Guild	DIFF	0x537	DBManager.cpp
_ZN10CDBManager19RegisterToBlackListEjjPc	_ZN10CDBManager19RegisterToBlackListEjjPc	DIFF	0x5fb	DBManager.cpp
_ZN10CDBManager17QueryReloadSpecDbEP38Packet_Frame_Lag_Statistic_Reload_SpecP17CStatisticsServer	_ZN10CDBManager17QueryReloadSpecDbEP38Packet_Frame_Lag_Statistic_Reload_SpecP17CStatisticsServer	DIFF	0x6a4	DBManager.cpp
_ZN10CDBManager9GuildJoinEP15STGuildJoinInfoRj	_ZN10CDBManager9GuildJoinEP15STGuildJoinInfoRj	DIFF	0x84d	DBManager.cpp
_ZN10CDBManager11GuildSecedeEP30Packet_DB_Request_Guild_SecedeRjS2_S2_	_ZN10CDBManager11GuildSecedeEP30Packet_DB_Request_Guild_SecedeRjS2_S2_	DIFF	0xdbb	DBManager.cpp
