demangled	mangled	status	orig_size	tu
_ZN17CPacketTranslater27onUpdateLimitNpcBuyItemInfoEP12PacketHeader	_ZN17CPacketTranslater27onUpdateLimitNpcBuyItemInfoEP12PacketHeader	DIFF	0x158	DNFPacketTranslater.cpp
_ZN17CPacketTranslater13OnEndGuildWarEP12PacketHeader	_ZN17CPacketTranslater13OnEndGuildWarEP12PacketHeader	DIFF	0x17a	DNFPacketTranslater.cpp
_ZN17CPacketTranslater26onInsertHolePunchingResultEP12PacketHeader	_ZN17CPacketTranslater26onInsertHolePunchingResultEP12PacketHeader	DIFF	0x17e	DNFPacketTranslater.cpp
_ZN17CPacketTranslater10OnAddBuddyEP12PacketHeader	_ZN17CPacketTranslater10OnAddBuddyEP12PacketHeader	DIFF	0x187	DNFPacketTranslater.cpp
_ZN17CPacketTranslater31OnUpdateTowerOfDespairStatisticEP12PacketHeader	_ZN17CPacketTranslater31OnUpdateTowerOfDespairStatisticEP12PacketHeader	DIFF	0x18f	DNFPacketTranslater.cpp
_ZN17CPacketTranslater10OnDelBuddyEP12PacketHeader	_ZN17CPacketTranslater10OnDelBuddyEP12PacketHeader	DIFF	0x198	DNFPacketTranslater.cpp
_ZN17CPacketTranslater29onItemLimitEditionLoadDataReqEP12PacketHeader	_ZN17CPacketTranslater29onItemLimitEditionLoadDataReqEP12PacketHeader	DIFF	0x1a7	DNFPacketTranslater.cpp
_ZN17CPacketTranslater23OnDBMWVillageAttackRankEP12PacketHeader	_ZN17CPacketTranslater23OnDBMWVillageAttackRankEP12PacketHeader	DIFF	0x1d6	DNFPacketTranslater.cpp
_ZN17CPacketTranslater20onCollectItemsUpdateEP12PacketHeader	_ZN17CPacketTranslater20onCollectItemsUpdateEP12PacketHeader	DIFF	0x1e4	DNFPacketTranslater.cpp
_ZN17CPacketTranslater31OnDBLoadRequestGuildBoardDeleteEP12PacketHeader	_ZN17CPacketTranslater31OnDBLoadRequestGuildBoardDeleteEP12PacketHeader	DIFF	0x1fc	DNFPacketTranslater.cpp
_ZN17CPacketTranslater25OnRequestBlackListOnLoginEP12PacketHeader	_ZN17CPacketTranslater25OnRequestBlackListOnLoginEP12PacketHeader	DIFF	0x218	DNFPacketTranslater.cpp
_ZN17CPacketTranslater26onStartGameEventFromServerEP12PacketHeader	_ZN17CPacketTranslater26onStartGameEventFromServerEP12PacketHeader	DIFF	0x247	DNFPacketTranslater.cpp
_ZN17CPacketTranslater33OnDBLoadRequestWebGuildBoardWriteEP12PacketHeader	_ZN17CPacketTranslater33OnDBLoadRequestWebGuildBoardWriteEP12PacketHeader	DIFF	0x252	DNFPacketTranslater.cpp
_ZN17CPacketTranslater16OnTcpServerLoginEP12PacketHeader	_ZN17CPacketTranslater16OnTcpServerLoginEP12PacketHeader	DIFF	0x27a	DNFPacketTranslater.cpp
_ZN17CPacketTranslater21OnRegisterToBlackListEP12PacketHeader	_ZN17CPacketTranslater21OnRegisterToBlackListEP12PacketHeader	DIFF	0x286	DNFPacketTranslater.cpp
_ZN17CPacketTranslater16OnDBMWInsertMailEP12PacketHeader	_ZN17CPacketTranslater16OnDBMWInsertMailEP12PacketHeader	DIFF	0x28f	DNFPacketTranslater.cpp
_ZN17CPacketTranslater20OnReqOntimeEventItemEP12PacketHeader	_ZN17CPacketTranslater20OnReqOntimeEventItemEP12PacketHeader	DIFF	0x2c8	DNFPacketTranslater.cpp
_ZN17CPacketTranslater13OnGuildSecedeEP12PacketHeader	_ZN17CPacketTranslater13OnGuildSecedeEP12PacketHeader	DIFF	0x2cd	DNFPacketTranslater.cpp
_ZN17CPacketTranslater15OnLoadGuildAgitEP12PacketHeader	_ZN17CPacketTranslater15OnLoadGuildAgitEP12PacketHeader	DIFF	0x2e5	DNFPacketTranslater.cpp
_ZN17CPacketTranslater11OnGuildJoinEP12PacketHeader	_ZN17CPacketTranslater11OnGuildJoinEP12PacketHeader	DIFF	0x32e	DNFPacketTranslater.cpp
_ZN17CPacketTranslater21OnGuildMasterDelegateEP12PacketHeader	_ZN17CPacketTranslater21OnGuildMasterDelegateEP12PacketHeader	DIFF	0x336	DNFPacketTranslater.cpp
_ZN17CPacketTranslater12OnQueryGuildEP12PacketHeader	_ZN17CPacketTranslater12OnQueryGuildEP12PacketHeader	DIFF	0x3ae	DNFPacketTranslater.cpp
_ZN17CPacketTranslater20onQueryTowerFullRankEP12PacketHeader	_ZN17CPacketTranslater20onQueryTowerFullRankEP12PacketHeader	DIFF	0x465	DNFPacketTranslater.cpp
_ZN17CPacketTranslater22OnRequestIPCounterListEP12PacketHeader	_ZN17CPacketTranslater22OnRequestIPCounterListEP12PacketHeader	DIFF	0x599	DNFPacketTranslater.cpp
