demangled	mangled	status	orig_size	tu
_ZN17CPacketTranslater28onItemLimitEditionUpdateDataEP12PacketHeader	_ZN17CPacketTranslater28onItemLimitEditionUpdateDataEP12PacketHeader	DIFF	0x158	DNFPacketTranslater.cpp
_ZN17CPacketTranslater18OnSaveGuildWarInfoEP12PacketHeader	_ZN17CPacketTranslater18OnSaveGuildWarInfoEP12PacketHeader	DIFF	0x17a	DNFPacketTranslater.cpp
_ZN17CPacketTranslater21OnLoadPeriodicMessageEP12PacketHeader	_ZN17CPacketTranslater21OnLoadPeriodicMessageEP12PacketHeader	DIFF	0x180	DNFPacketTranslater.cpp
_ZN17CPacketTranslater16onCollectItemsGmEP12PacketHeader	_ZN17CPacketTranslater16onCollectItemsGmEP12PacketHeader	DIFF	0x18d	DNFPacketTranslater.cpp
_ZN17CPacketTranslater16OnQueryBuddyInfoEP12PacketHeader	_ZN17CPacketTranslater16OnQueryBuddyInfoEP12PacketHeader	DIFF	0x193	DNFPacketTranslater.cpp
_ZN17CPacketTranslater25onLoadLimitNpcBuyItemInfoEP12PacketHeader	_ZN17CPacketTranslater25onLoadLimitNpcBuyItemInfoEP12PacketHeader	DIFF	0x1a7	DNFPacketTranslater.cpp
_ZN17CPacketTranslater19OnQueryGuildBootingEP12PacketHeader	_ZN17CPacketTranslater19OnQueryGuildBootingEP12PacketHeader	DIFF	0x1b2	DNFPacketTranslater.cpp
_ZN17CPacketTranslater29OnQueryUnconnGuildMemberProxyEP12PacketHeader	_ZN17CPacketTranslater29OnQueryUnconnGuildMemberProxyEP12PacketHeader	DIFF	0x1d8	DNFPacketTranslater.cpp
_ZN17CPacketTranslater20OnRequestGuildCreateEP12PacketHeader	_ZN17CPacketTranslater20OnRequestGuildCreateEP12PacketHeader	DIFF	0x1e5	DNFPacketTranslater.cpp
_ZN17CPacketTranslater18OnQueryGuildMemberEP12PacketHeader	_ZN17CPacketTranslater18OnQueryGuildMemberEP12PacketHeader	DIFF	0x204	DNFPacketTranslater.cpp
_ZN17CPacketTranslater24onEndGameEventFromServerEP12PacketHeader	_ZN17CPacketTranslater24onEndGameEventFromServerEP12PacketHeader	DIFF	0x23b	DNFPacketTranslater.cpp
_ZN17CPacketTranslater30OnDBLoadRequestGuildBoardWriteEP12PacketHeader	_ZN17CPacketTranslater30OnDBLoadRequestGuildBoardWriteEP12PacketHeader	DIFF	0x252	DNFPacketTranslater.cpp
_ZN17CPacketTranslater17OnTcpServerLogoutEP12PacketHeader	_ZN17CPacketTranslater17OnTcpServerLogoutEP12PacketHeader	DIFF	0x26e	DNFPacketTranslater.cpp
_ZN17CPacketTranslater24OnSavePowerWarBonusPointEP12PacketHeader	_ZN17CPacketTranslater24OnSavePowerWarBonusPointEP12PacketHeader	DIFF	0x280	DNFPacketTranslater.cpp
_ZN17CPacketTranslater25OnRequestApproveJoinGuildEP12PacketHeader	_ZN17CPacketTranslater25OnRequestApproveJoinGuildEP12PacketHeader	DIFF	0x28a	DNFPacketTranslater.cpp
_ZN17CPacketTranslater19OnDeleteToBlackListEP12PacketHeader	_ZN17CPacketTranslater19OnDeleteToBlackListEP12PacketHeader	DIFF	0x298	DNFPacketTranslater.cpp
_ZN17CPacketTranslater19OnReqOntimeEventIdxEP12PacketHeader	_ZN17CPacketTranslater19OnReqOntimeEventIdxEP12PacketHeader	DIFF	0x2cb	DNFPacketTranslater.cpp
_ZN17CPacketTranslater25OnReqOntimeEventIdxUpdateEP12PacketHeader	_ZN17CPacketTranslater25OnReqOntimeEventIdxUpdateEP12PacketHeader	DIFF	0x2d7	DNFPacketTranslater.cpp
_ZN17CPacketTranslater24OnSendMailCoinGuildEventEP12PacketHeader	_ZN17CPacketTranslater24OnSendMailCoinGuildEventEP12PacketHeader	DIFF	0x321	DNFPacketTranslater.cpp
_ZN17CPacketTranslater17OnSendGuildLetterEP12PacketHeader	_ZN17CPacketTranslater17OnSendGuildLetterEP12PacketHeader	DIFF	0x335	DNFPacketTranslater.cpp
_ZN17CPacketTranslater16OnRequestARSInfoEP12PacketHeader	_ZN17CPacketTranslater16OnRequestARSInfoEP12PacketHeader	DIFF	0x3a5	DNFPacketTranslater.cpp
_ZN17CPacketTranslater27OnQueryGuildAllMembersProxyEP12PacketHeader	_ZN17CPacketTranslater27OnQueryGuildAllMembersProxyEP12PacketHeader	DIFF	0x3d4	DNFPacketTranslater.cpp
_ZN17CPacketTranslater22OnPcRoomPlayTimeRewardEP12PacketHeader	_ZN17CPacketTranslater22OnPcRoomPlayTimeRewardEP12PacketHeader	DIFF	0x4af	DNFPacketTranslater.cpp
_ZN17CPacketTranslater29OnDBLoadRequestGuildBoardOpenEP12PacketHeader	_ZN17CPacketTranslater29OnDBLoadRequestGuildBoardOpenEP12PacketHeader	DIFF	0x5c7	DNFPacketTranslater.cpp
