demangled	mangled	status	orig_size	tu
_ZN14CPacketCounterILi1000ELi10240EE20IncrementPacketCountEi	_ZN14CPacketCounterILi1000ELi10240EE20IncrementPacketCountEi	DIFF	0x5f	PacketCounter.cpp
_ZN13CQueryCounter15IncreQureyCountEjPKc	_ZN13CQueryCounter15IncreQureyCountEjPKc	DIFF	0x64	QueryCounter.cpp
_ZN14CPacketCounterILi1000ELi10240EEC1EPcS1_	_ZN14CPacketCounterILi1000ELi10240EEC1EPcS1_	DIFF	0x7e	PacketCounter.cpp
_ZN14CPacketCounterILi1000ELi10240EEC2EPcS1_	_ZN14CPacketCounterILi1000ELi10240EEC2EPcS1_	DIFF	0x7e	PacketCounter.cpp
_ZN18CFrameCountHandler11SaveProcessEv	_ZN18CFrameCountHandler11SaveProcessEv	NEAR	0x80	DNFTickHandler.cpp
_ZN18CFrameCountHandler11SaveProcessEi	_ZN18CFrameCountHandler11SaveProcessEi	NEAR	0x87	DNFTickHandler.cpp
_ZN8WongWork11CGMAccounts12AppendGM_SysEjc	_ZN8WongWork11CGMAccounts12AppendGM_SysEjc	DIFF	0x8f	GMAccounts.cpp
_ZN6CMySql11blob_to_strEiPvi	_ZN6CMySql11blob_to_strEiPvi	DIFF	0xa3	DNFMySql.cpp
_ZN8WongWork11CGMAccounts4isGMEj	_ZN8WongWork11CGMAccounts4isGMEj	DIFF	0xa7	GMAccounts.cpp
_ZN13CPacketTracerC1Ev	_ZN13CPacketTracerC1Ev	DIFF	0xad	DNFPacketTracer.cpp
_ZN13CPacketTracerC2Ev	_ZN13CPacketTracerC2Ev	DIFF	0xad	DNFPacketTracer.cpp
_ZN10CAppConfig12DecryptValueEPKcPc	_ZN10CAppConfig12DecryptValueEPKcPc	DIFF	0xaf	DNFAppConfig.cpp
_ZN12STDBConnInfoC1Ev	_ZN12STDBConnInfoC1Ev	DIFF	0xb2	DNFAppConfig.cpp
_ZN12STDBConnInfoC2Ev	_ZN12STDBConnInfoC2Ev	DIFF	0xb2	DNFAppConfig.cpp
_ZN13CQueryCounter15SetResponseTimeEj	_ZN13CQueryCounter15SetResponseTimeEj	DIFF	0xc2	QueryCounter.cpp
_ZN10CTableBase19Load_Txt_Table_DataEPKci	_ZN10CTableBase19Load_Txt_Table_DataEPKci	DIFF	0xda	DNFTableBase.cpp
_ZNK8WongWork11CGMAccounts9getGMInfoEj	_ZNK8WongWork11CGMAccounts9getGMInfoEj	DIFF	0xe0	GMAccounts.cpp
_ZL15freeStackBufferPhi	_ZL15freeStackBufferPhi	DIFF	0xeb	StackBuffer.cpp
_ZN14CKillUSRConfig11Parse_TableEPci	_ZN14CKillUSRConfig11Parse_TableEPci	DIFF	0xeb	DNFKillUserConfig.cpp
_ZL19freeAllStackBuffersv	_ZL19freeAllStackBuffersv	DIFF	0x106	StackBuffer.cpp
_ZN14CPacketCounterILi1000ELi10240EE12AfterProcessEi	_ZN14CPacketCounterILi1000ELi10240EE12AfterProcessEi	DIFF	0x11d	PacketCounter.cpp
_ZN18CFrameCountHandler18InitFrameCountInfoEP12CApplicationjt	_ZN18CFrameCountHandler18InitFrameCountInfoEP12CApplicationjt	DIFF	0x13c	DNFTickHandler.cpp
_ZN13CPacketTracer21WritePacketProcessLogEv	_ZN13CPacketTracer21WritePacketProcessLogEv	DIFF	0x164	DNFPacketTracer.cpp
_ZN6CMySql4openEPKcjS1_S1_S1_	_ZN6CMySql4openEPKcjS1_S1_S1_	DIFF	0x166	DNFMySql.cpp
_ZN6CMySql4openEPKcS1_S1_S1_	_ZN6CMySql4openEPKcS1_S1_S1_	DIFF	0x168	DNFMySql.cpp
_ZN6CMySql4execEj	_ZN6CMySql4execEj	DIFF	0x177	DNFMySql.cpp
_ZN12CApplication7ProcessEv	_ZN12CApplication7ProcessEv	DIFF	0x1df	DNFApplication.cpp
_ZN14CPacketDecoder9MsgDecodeEP12PacketHeader	_ZN14CPacketDecoder9MsgDecodeEP12PacketHeader	DIFF	0x1e9	DNFPacketDecoder.cpp
_ZN5CPeer11send_packetEPci	_ZN5CPeer11send_packetEPci	NEAR	0x21b	Peer.cpp
_ZN5CPeer11send_packetEv	_ZN5CPeer11send_packetEv	DIFF	0x24d	Peer.cpp
_ZN13np_server_xml10CServerXml9StrPunishEiPKcNS_12_eStringTypeE	_ZN13np_server_xml10CServerXml9StrPunishEiPKcNS_12_eStringTypeE	DIFF	0x265	ServerXml.cpp
_ZN6CMySql10exec_queryEv	_ZN6CMySql10exec_queryEv	DIFF	0x271	DNFMySql.cpp
_ZL16allocStackBufferjPPhPi	_ZL16allocStackBufferjPPhPi	DIFF	0x272	StackBuffer.cpp
_ZN12CApplication4FreeEv	_ZN12CApplication4FreeEv	DIFF	0x2a2	DNFApplication.cpp
_ZN13CQueryCounter10WriteDBLogER10CDBManager	_ZN13CQueryCounter10WriteDBLogER10CDBManager	DIFF	0x2b6	QueryCounter.cpp
_ZN14CPacketDecoder10UdpProcessEv	_ZN14CPacketDecoder10UdpProcessEv	DIFF	0x32e	DNFPacketDecoder.cpp
_ZN14CPacketDecoder10TcpProcessEv	_ZN14CPacketDecoder10TcpProcessEv	DIFF	0x333	DNFPacketDecoder.cpp
_ZN18CFrameCountHandler17GetFrameCountInfoEv	_ZN18CFrameCountHandler17GetFrameCountInfoEv	DIFF	0x37c	DNFTickHandler.cpp
_ZN12CApplication15TranslateSignalEv	_ZN12CApplication15TranslateSignalEv	DIFF	0x3da	DNFApplication.cpp
_ZN5CPeer7parsingEi	_ZN5CPeer7parsingEi	DIFF	0x489	Peer.cpp
_ZN12CApplication4LoadEiPPc	_ZN12CApplication4LoadEiPPc	DIFF	0x5d0	DNFApplication.cpp
_ZN10CAppConfig11Parse_TableEPci	_ZN10CAppConfig11Parse_TableEPci	DIFF	0x142a	DNFAppConfig.cpp
