demangled	mangled	status	orig_size	tu
_ZN14CNetworkThread6attachEP12CApplication	_ZN14CNetworkThread6attachEP12CApplication	DIFF	0x52	DNFNetworkThread.cpp
_ZN17CSignalTranslator13regist_signalEiPFviE	_ZN17CSignalTranslator13regist_signalEiPFviE	DIFF	0x8f	DNFSignalTranslator.cpp
_ZN11CUdpHandler16InitClientSocketEv	_ZN11CUdpHandler16InitClientSocketEv	DIFF	0xa2	DNFUdpHandler.cpp
_ZN13CTcpNetSystem18PushTcpSendPacketQEPc	_ZN13CTcpNetSystem18PushTcpSendPacketQEPc	DIFF	0xe9	TcpNetSystem.cpp
_ZN14CServerHandler16SendAllTcpServerEP12PacketHeader	_ZN14CServerHandler16SendAllTcpServerEP12PacketHeader	DIFF	0xfa	DNFServerHandler.cpp
_ZN13CTcpNetSystem19CleanTcpSendPacketQEv	_ZN13CTcpNetSystem19CleanTcpSendPacketQEv	DIFF	0x11c	TcpNetSystem.cpp
_ZN13CTcpNetSystem21SetEpollConnectedPeerEP5CPeer	_ZN13CTcpNetSystem21SetEpollConnectedPeerEP5CPeer	DIFF	0x136	TcpNetSystem.cpp
_ZN13CTcpNetSystem4InitEt	_ZN13CTcpNetSystem4InitEt	DIFF	0x13e	TcpNetSystem.cpp
_ZN13CTcpNetSystem21SetEpollAcceptedPeersEv	_ZN13CTcpNetSystem21SetEpollAcceptedPeersEv	DIFF	0x19c	TcpNetSystem.cpp
_ZN13CTcpNetSystem14OpenTcpServiceERiPKct	_ZN13CTcpNetSystem14OpenTcpServiceERiPKct	DIFF	0x1b1	TcpNetSystem.cpp
_ZN17CSignalTranslator12init_handlerEP12CApplication	_ZN17CSignalTranslator12init_handlerEP12CApplication	DIFF	0x1b3	DNFSignalTranslator.cpp
_ZN11CUdpHandler16InitServerSocketEi	_ZN11CUdpHandler16InitServerSocketEi	DIFF	0x1b8	DNFUdpHandler.cpp
_ZNK11CUdpHandler14RecvFromServerEPcPiPjPt	_ZNK11CUdpHandler14RecvFromServerEPcPiPjPt	DIFF	0x25d	DNFUdpHandler.cpp
_ZNK11CUdpHandler14RecvFromClientEPcPiPjPt	_ZNK11CUdpHandler14RecvFromClientEPcPiPjPt	DIFF	0x273	DNFUdpHandler.cpp
_ZNK11CUdpHandler12SendToServerEPcitPKc	_ZNK11CUdpHandler12SendToServerEPcitPKc	DIFF	0x27b	DNFUdpHandler.cpp
_ZN13CTcpNetSystem10SendPacketEv	_ZN13CTcpNetSystem10SendPacketEv	DIFF	0x2f1	TcpNetSystem.cpp
_ZNK11CUdpHandler12SendToClientEPcitPKcj	_ZNK11CUdpHandler12SendToClientEPcitPKcj	DIFF	0x309	DNFUdpHandler.cpp
_ZN16CTcpAcceptThread8dispatchEPv	_ZN16CTcpAcceptThread8dispatchEPv	DIFF	0x405	DNFTcpAcceptThread.cpp
_ZN17CTcpNetworkThread8dispatchEPv	_ZN17CTcpNetworkThread8dispatchEPv	DIFF	0x457	DNFTcpNetworkThread.cpp
_ZN14CServerHandler4LoadEP13ST_ServerInfo	_ZN14CServerHandler4LoadEP13ST_ServerInfo	NEAR	0x624	DNFServerHandler.cpp
_ZN14CNetworkThread8dispatchEPv	_ZN14CNetworkThread8dispatchEPv	DIFF	0x6d6	DNFNetworkThread.cpp
