demangled	mangled	status	orig_size	tu
CAppConfig::Parse_Table(char*, int)	_ZN10CAppConfig11Parse_TableEPci	NEAR	0x311	DNFAppConfig.cpp
CommonTime::SetCurTime()	_ZN10CommonTime10SetCurTimeEv	DIFF	0x7a	SystemTimeHandler.cpp
CAppStopInit::Init(CApplication*, int, char**)	_ZN12CAppStopInit4InitEP12CApplicationiPPc	DIFF	0x248	DNFAppStopInit.cpp
CApplication::TranslateSignal()	_ZN12CApplication15TranslateSignalEv	DIFF	0x36c	DNFApplication.cpp
CApplication::isAbleUserChatWithGM(unsigned int, unsigned int)	_ZN12CApplication20isAbleUserChatWithGMEjj	NEAR	0x104	DNFApplication.cpp
CApplication::Load(int, char**)	_ZN12CApplication4LoadEiPPc	DIFF	0x10df	DNFApplication.cpp
CApplication::CApplication()	_ZN12CApplicationC1Ev	DIFF	0x2e0	DNFApplication.cpp
CApplication::CApplication()	_ZN12CApplicationC2Ev	DIFF	0x2e0	DNFApplication.cpp
CAppStartInit::Init_Daemon(int, char**)	_ZN13CAppStartInit11Init_DaemonEiPPc	DIFF	0x110	DNFAppStartInit.cpp
CAppStartInit::Init(CApplication*, int, char**)	_ZN13CAppStartInit4InitEP12CApplicationiPPc	DIFF	0x265	DNFAppStartInit.cpp
CPacketTracer::WriteLog()	_ZN13CPacketTracer8WriteLogEv	DIFF	0x86	DNFPacketTracer.cpp
CServerConfig::Parse_Table(char*, int)	_ZN13CServerConfig11Parse_TableEPci	DIFF	0xd7	DNFServerConfig.cpp
CKillUSRConfig::Clear_Table()	_ZN14CKillUSRConfig11Clear_TableEv	DIFF	0xa4	DNFKillUserConfig.cpp
init_accusation::CInitAccusationListMgr::setSchedule(bool const&)	_ZN15init_accusation22CInitAccusationListMgr11setScheduleERKb	DIFF	0xb3	DNFApplication.cpp
CServerInterface::IsHeartBeatTimeOver()	_ZN16CServerInterface19IsHeartBeatTimeOverEv	DIFF	0x58	DNFServerInterface.cpp
CPeriodicMessageMgr::OnProcess(CServerHandler*)	_ZN19CPeriodicMessageMgr9OnProcessEP14CServerHandler	DIFF	0xd0	DNFApplication.cpp
CLoginLogoutStatistics::LoginLogout(ENUM_LOGIN_LOGOUT, unsigned char)	_ZN22CLoginLogoutStatistics11LoginLogoutE17ENUM_LOGIN_LOGOUTh	DIFF	0x12c	LoginLogoutStatistics.cpp
main	main	DIFF	0x53	DNFMonitorServerMain.cpp
