demangled	mangled	status	orig_size	tu
CCashObject::IsLifeTimeOut()	_ZN11CCashObject13IsLifeTimeOutEv	DIFF	0x3d	CashObject.cpp
CCashObject::GetBuddysObject(CBuddy**)	_ZN11CCashObject15GetBuddysObjectEPP6CBuddy	DIFF	0x70	CashObject.cpp
CMemoryCashManager::IsRightObject(CUser*, CMember*, bool&, bool&, bool&)	_ZN18CMemoryCashManager13IsRightObjectEP5CUserP7CMemberRbS4_S4_	DIFF	0x12c	MemoryCashManager.cpp
CMemoryCashManager::SetUserObject(CUser*)	_ZN18CMemoryCashManager13SetUserObjectEP5CUser	DIFF	0xb8	MemoryCashManager.cpp
CMemoryCashManager::DeleteCashObjecct(unsigned int)	_ZN18CMemoryCashManager17DeleteCashObjecctEj	DIFF	0x90	MemoryCashManager.cpp
CMemoryCashManager::ProcessLifeTimeOut()	_ZN18CMemoryCashManager18ProcessLifeTimeOutEv	DIFF	0x103	MemoryCashManager.cpp
CMemoryCashManager::ProcessCashDataPrint()	_ZN18CMemoryCashManager20ProcessCashDataPrintEv	DIFF	0xc4	MemoryCashManager.cpp
CMemoryCashManager::QueryCashMemoryMember(CUser*)	_ZN18CMemoryCashManager21QueryCashMemoryMemberEP5CUser	DIFF	0x293	MemoryCashManager.cpp
CMemoryCashManager::QueryCashMemoryBlackList(CUser*)	_ZN18CMemoryCashManager24QueryCashMemoryBlackListEP5CUser	DIFF	0x245	MemoryCashManager.cpp
CMemoryCashManager::QueryCashMemoryBuddyInfo(CUser*)	_ZN18CMemoryCashManager24QueryCashMemoryBuddyInfoEP5CUser	DIFF	0x290	MemoryCashManager.cpp
CMemoryCashManager::InsertCashMemorySetCharacterObject(CUser*, CMember*, bool&, bool&)	_ZN18CMemoryCashManager34InsertCashMemorySetCharacterObjectEP5CUserP7CMemberRbS4_	DIFF	0x1bc	MemoryCashManager.cpp
