demangled	mangled	status	orig_size	tu
CItemLimitEditionMgr::registItem(stItemLimitEditionItemInfo_t const&)	_ZN20CItemLimitEditionMgr10registItemERK28stItemLimitEditionItemInfo_t	DIFF	0x17f	ItemLimitEditionManager.cpp
CItemLimitEditionMgr::removeItem(unsigned int)	_ZN20CItemLimitEditionMgr10removeItemEj	DIFF	0x87	ItemLimitEditionManager.cpp
CItemLimitEditionMgr::updateItem(unsigned int, unsigned int)	_ZN20CItemLimitEditionMgr10updateItemEjj	DIFF	0x78	ItemLimitEditionManager.cpp
CItemLimitEditionMgr::processScheduledJob(CApplication*, bool)	_ZN20CItemLimitEditionMgr19processScheduledJobEP12CApplicationb	DIFF	0x29b	ItemLimitEditionManager.cpp
CItemLimitEditionMgr::clear()	_ZN20CItemLimitEditionMgr5clearEv	DIFF	0xaa	ItemLimitEditionManager.cpp
LimitNpcBuyItemManager::registItem(NpcBuyLimitItem&)	_ZN22LimitNpcBuyItemManager10registItemER15NpcBuyLimitItem	DIFF	0x9c	LimitNpcBuyItem.cpp
LimitNpcBuyItemManager::sellNpcLimitBuyItem(LimitNpcBuyItemInfo*)	_ZN22LimitNpcBuyItemManager19sellNpcLimitBuyItemEP19LimitNpcBuyItemInfo	DIFF	0x15a	LimitNpcBuyItem.cpp
LimitNpcBuyItemManager::undoNpcLimitBuyItem(LimitNpcBuyItemUpdate*)	_ZN22LimitNpcBuyItemManager19undoNpcLimitBuyItemEP21LimitNpcBuyItemUpdate	DIFF	0x13a	LimitNpcBuyItem.cpp
LimitNpcBuyItemManager::getNpcLimitBuyItemCount(unsigned int, LimitNpcBuyItemChangeInfo&)	_ZN22LimitNpcBuyItemManager23getNpcLimitBuyItemCountEjR25LimitNpcBuyItemChangeInfo	DIFF	0x85	LimitNpcBuyItem.cpp
LimitNpcBuyItemManager::getNpcLimitBuyItemInfoAll(LimitNpcBuyItemInfoAll*)	_ZN22LimitNpcBuyItemManager25getNpcLimitBuyItemInfoAllEP22LimitNpcBuyItemInfoAll	DIFF	0x126	LimitNpcBuyItem.cpp
CItemLimitEdition::makeItemInfo(stItemLimitEditionItemInfo_t&) const	_ZNK17CItemLimitEdition12makeItemInfoER28stItemLimitEditionItemInfo_t	DIFF	0x37	ItemLimitEditionManager.cpp
CItemLimitEditionMgr::getItemInfo(unsigned int) const	_ZNK20CItemLimitEditionMgr11getItemInfoEj	DIFF	0x64	ItemLimitEditionManager.cpp
CItemLimitEditionMgr::makeItemLimitEditionUpdatePacket(Packet_Item_Limit_Edition_Update&) const	_ZNK20CItemLimitEditionMgr32makeItemLimitEditionUpdatePacketER32Packet_Item_Limit_Edition_Update	DIFF	0xed	ItemLimitEditionManager.cpp
CItemLimitEditionMgr::makeItemLimitEditionSellStartPacket(Packet_Item_Limit_Edition_Sell_Start&) const	_ZNK20CItemLimitEditionMgr35makeItemLimitEditionSellStartPacketER36Packet_Item_Limit_Edition_Sell_Start	DIFF	0x9c	ItemLimitEditionManager.cpp
