demangled	mangled	status	orig_size	tu
CMemberConfig::Parse_Table(char*, int)	_ZN13CMemberConfig11Parse_TableEPci	DIFF	0xa1	DNFMemberConfig.cpp
CMemberExpTbl::Parse_Table(char*, int)	_ZN13CMemberExpTbl11Parse_TableEPci	DIFF	0x85	DNFMemberConfig.cpp
CMemberExpTbl::GetMemberExpLevel(unsigned int)	_ZN13CMemberExpTbl17GetMemberExpLevelEj	DIFF	0x82	DNFMemberConfig.cpp
CMemberExpTbl::IsMemberExpLevelUp(unsigned int)	_ZN13CMemberExpTbl18IsMemberExpLevelUpEj	DIFF	0x90	DNFMemberConfig.cpp
CMemberManager::LoadMember(unsigned int, STMemberDBInfo&, unsigned int, unsigned int, CServerHandler*)	_ZN14CMemberManager10LoadMemberEjR14STMemberDBInfojjP14CServerHandler	DIFF	0x216	DNFMemberManager.cpp
CMemberManager::DeleteMember(unsigned int, bool)	_ZN14CMemberManager12DeleteMemberEjb	NEAR	0x14a	DNFMemberManager.cpp
CMemberManager::InsertMember(unsigned int, CMember*)	_ZN14CMemberManager12InsertMemberEjP7CMember	DIFF	0xf2	DNFMemberManager.cpp
CMemberManager::MemerMemLogin(unsigned int, CUser*)	_ZN14CMemberManager13MemerMemLoginEjP5CUser	DIFF	0x3c9	DNFMemberManager.cpp
CMemberManager::RegisterMember(CMember*, short, CUser*, bool)	_ZN14CMemberManager14RegisterMemberEP7CMembersP5CUserb	DIFF	0x112	DNFMemberManager.cpp
CMemberManager::MemberMemLogout(unsigned int, CUser*, bool)	_ZN14CMemberManager15MemberMemLogoutEjP5CUserb	DIFF	0x23a	DNFMemberManager.cpp
CMemberManager::CheckEmptyMember(CMember*, CUser*)	_ZN14CMemberManager16CheckEmptyMemberEP7CMemberP5CUser	DIFF	0xa2	DNFMemberManager.cpp
CMemberManager::CheckMemberEnter(CUser*, CMember*, CUser*, CMember*)	_ZN14CMemberManager16CheckMemberEnterEP5CUserP7CMemberS1_S3_	DIFF	0xce	DNFMemberManager.cpp
CMemberManager::LoadMemberFromCash(CUser*, CMember*)	_ZN14CMemberManager18LoadMemberFromCashEP5CUserP7CMember	DIFF	0x6d	DNFMemberManager.cpp
CMemberManager::SaveMemberOnConnect(CServerHandler*, CUser*, CUser*, unsigned char)	_ZN14CMemberManager19SaveMemberOnConnectEP14CServerHandlerP5CUserS3_h	DIFF	0xd0	DNFMemberManager.cpp
CMemberManager::IsPossableMemberEnter(CUser*, CMember*, CUser*, CMember*, int)	_ZN14CMemberManager21IsPossableMemberEnterEP5CUserP7CMemberS1_S3_i	DIFF	0x13d	DNFMemberManager.cpp
CMemberManager::NoticeLevelUpToLowers(unsigned int, unsigned int)	_ZN14CMemberManager21NoticeLevelUpToLowersEjj	DIFF	0xb8	DNFMemberManager.cpp
CMemberManager::SaveMemberOnUnConnect(CServerHandler*, unsigned int, unsigned int, unsigned int, unsigned char)	_ZN14CMemberManager21SaveMemberOnUnConnectEP14CServerHandlerjjjh	DIFF	0xb8	DNFMemberManager.cpp
CMemberManager::GetLowerMemberEnterLimit(unsigned int)	_ZN14CMemberManager24GetLowerMemberEnterLimitEj	DIFF	0x50	DNFMemberManager.cpp
CMemberManager::MemberRegisterFlagProcess()	_ZN14CMemberManager25MemberRegisterFlagProcessEv	DIFF	0x118	DNFMemberManager.cpp
CMemberManager::GetMemberExpNextLevelNeedExpLevel(unsigned int&, unsigned int&, unsigned char&)	_ZN14CMemberManager33GetMemberExpNextLevelNeedExpLevelERjS0_Rh	DIFF	0x52	DNFMemberManager.cpp
CMemberManager::CMemberManager()	_ZN14CMemberManagerC1Ev	DIFF	0xa0	DNFMemberManager.cpp
CMemberManager::CMemberManager()	_ZN14CMemberManagerC2Ev	DIFF	0xa0	DNFMemberManager.cpp
CMember::LoadMember(STMemberDBInfo&, short, unsigned int, unsigned int)	_ZN7CMember10LoadMemberER14STMemberDBInfosjj	DIFF	0xcb	DNFMember.cpp
CMember::DeleteLowerMember(unsigned int, bool)	_ZN7CMember17DeleteLowerMemberEjb	DIFF	0xc8	DNFMember.cpp
CMember::DeleteMemberByName(char*, unsigned int&)	_ZN7CMember18DeleteMemberByNameEPcRj	DIFF	0x13c	DNFMember.cpp
CMember::GetConnLowerMemberCnt()	_ZN7CMember21GetConnLowerMemberCntEv	DIFF	0x82	DNFMember.cpp
CMember::IncConnLowerMemberExp(int, unsigned int, unsigned int)	_ZN7CMember21IncConnLowerMemberExpEijj	DIFF	0x110	DNFMember.cpp
CMember::NoticeLevelUpToLowers(unsigned int)	_ZN7CMember21NoticeLevelUpToLowersEj	DIFF	0xbf	DNFMember.cpp
CMember::NoticeMemberLogin_Out(CUser*, char)	_ZN7CMember21NoticeMemberLogin_OutEP5CUserc	DIFF	0x325	DNFMember.cpp
CMember::NoticeChatMsgToMemberMembers(char*, int, CUser*)	_ZN7CMember28NoticeChatMsgToMemberMembersEPciP5CUser	DIFF	0x21c	DNFMember.cpp
CMember::NoticeChatMsgToMemberMembersHyperLink(char*, int, unsigned char, hyperlink_item_info const*, CUser*)	_ZN7CMember37NoticeChatMsgToMemberMembersHyperLinkEPcihPK19hyperlink_item_infoP5CUser	DIFF	0x284	DNFMember.cpp
