demangled	mangled	status	orig_size	tu
CIPCounter::setLoadTerm(unsigned char)	_ZN10CIPCounter11setLoadTermEh	DIFF	0x4c	IPCounter.cpp
CIPCounter::setMinIPCount(unsigned char)	_ZN10CIPCounter13setMinIPCountEh	DIFF	0x20	IPCounter.cpp
CIPCounter::setOption(unsigned char, unsigned char)	_ZN10CIPCounter9setOptionEhh	NEAR	0x89	IPCounter.cpp
CTowerRank::getRankData(unsigned int, char const*, unsigned int, stTowerRankElement_t*)	_ZN10CTowerRank11getRankDataEjPKcjP20stTowerRankElement_t	DIFF	0x1bf	DNFTowerRank.cpp
CTowerRank::registCharacRank(unsigned int, char const*, unsigned int, unsigned int)	_ZN10CTowerRank16registCharacRankEjPKcjj	DIFF	0x269	DNFTowerRank.cpp
CTowerRank::reset()	_ZN10CTowerRank5resetEv	DIFF	0x39	DNFTowerRank.cpp
np_server_xml::CServerXml::StrPunish(int, char const*, np_server_xml::_eStringType)	_ZN13np_server_xml10CServerXml9StrPunishEiPKcNS_12_eStringTypeE	DIFF	0x265	ServerXml.cpp
CDNFProhibitUser::IsTimeOutConnectable()	_ZN16CDNFProhibitUser20IsTimeOutConnectableEv	DIFF	0x33	DNFProhibitUser.cpp
CDNFProhibitUser::SetUserConnectableTime(unsigned int, short, char, bool)	_ZN16CDNFProhibitUser22SetUserConnectableTimeEjscb	DIFF	0x50	DNFProhibitUser.cpp
WongWork::CGMAccounts::AppendGM_Sys(unsigned int, char)	_ZN8WongWork11CGMAccounts12AppendGM_SysEjc	DIFF	0x8f	GMAccounts.cpp
WongWork::CGMAccounts::isGM(unsigned int)	_ZN8WongWork11CGMAccounts4isGMEj	DIFF	0xa7	GMAccounts.cpp
np_server_xml::CServerXml::GetEventString(int, np_server_xml::_eStringType, bool*) const	_ZNK13np_server_xml10CServerXml14GetEventStringEiNS_12_eStringTypeEPb	DIFF	0x20a	ServerXml.cpp
np_server_xml::CServerXml::GetServerString(int, bool*) const	_ZNK13np_server_xml10CServerXml15GetServerStringEiPb	DIFF	0x137	ServerXml.cpp
WongWork::CGMAccounts::getGMInfo(unsigned int) const	_ZNK8WongWork11CGMAccounts9getGMInfoEj	DIFF	0xe0	GMAccounts.cpp
