demangled	mangled	status	orig_size	tu
CPacketTranslater::OnCharLogin(PacketHeader*)	_ZN17CPacketTranslater11OnCharLoginEP12PacketHeader	DIFF	0x8c3	DNFPacketTranslater.cpp
CPacketTranslater::OnHeartBeat(PacketHeader*)	_ZN17CPacketTranslater11OnHeartBeatEP12PacketHeader	DIFF	0x313	DNFPacketTranslater.cpp
CPacketTranslater::OnUserRepel(PacketHeader*)	_ZN17CPacketTranslater11OnUserRepelEP12PacketHeader	DIFF	0x2ea	DNFPacketTranslater.cpp
CPacketTranslater::OnCeraUpdate(PacketHeader*)	_ZN17CPacketTranslater12OnCeraUpdateEP12PacketHeader	DIFF	0x210	DNFPacketTranslater.cpp
CPacketTranslater::OnEventStart(PacketHeader*)	_ZN17CPacketTranslater12OnEventStartEP12PacketHeader	DIFF	0x28a	DNFPacketTranslater.cpp
CPacketTranslater::OnForbidChat(PacketHeader*)	_ZN17CPacketTranslater12OnForbidChatEP12PacketHeader	DIFF	0x234	DNFPacketTranslater.cpp
CPacketTranslater::OnNoticeSlang(PacketHeader*)	_ZN17CPacketTranslater13OnNoticeSlangEP12PacketHeader	DIFF	0x1e7	DNFPacketTranslater.cpp
CPacketTranslater::OnGMRequestMid(PacketHeader*)	_ZN17CPacketTranslater14OnGMRequestMidEP12PacketHeader	DIFF	0x296	DNFPacketTranslater.cpp
CPacketTranslater::OnMemberSecede(PacketHeader*)	_ZN17CPacketTranslater14OnMemberSecedeEP12PacketHeader	DIFF	0x524	DNFPacketTranslater.cpp
CPacketTranslater::onCollectItems(PacketHeader*)	_ZN17CPacketTranslater14onCollectItemsEP12PacketHeader	DIFF	0x390	DNFPacketTranslater.cpp
CPacketTranslater::OnNoticeMessage(PacketHeader*)	_ZN17CPacketTranslater15OnNoticeMessageEP12PacketHeader	DIFF	0x22a	DNFPacketTranslater.cpp
CPacketTranslater::OnPayTaxToUpper(PacketHeader*)	_ZN17CPacketTranslater15OnPayTaxToUpperEP12PacketHeader	DIFF	0x58b	DNFPacketTranslater.cpp
CPacketTranslater::OnReplyUserInfo(PacketHeader*)	_ZN17CPacketTranslater15OnReplyUserInfoEP12PacketHeader	DIFF	0x5ef	DNFPacketTranslater.cpp
CPacketTranslater::OnCallMemberList(PacketHeader*)	_ZN17CPacketTranslater16OnCallMemberListEP12PacketHeader	DIFF	0x498	DNFPacketTranslater.cpp
CPacketTranslater::OnChangeCharName(PacketHeader*)	_ZN17CPacketTranslater16OnChangeCharNameEP12PacketHeader	DIFF	0x3c4	DNFPacketTranslater.cpp
CPacketTranslater::OnLogoutComplete(PacketHeader*)	_ZN17CPacketTranslater16OnLogoutCompleteEP12PacketHeader	DIFF	0x2f4	DNFPacketTranslater.cpp
CPacketTranslater::OnPvPChannelInfo(PacketHeader*)	_ZN17CPacketTranslater16OnPvPChannelInfoEP12PacketHeader	DIFF	0x196	DNFPacketTranslater.cpp
CPacketTranslater::OnTakeScreenShot(PacketHeader*)	_ZN17CPacketTranslater16OnTakeScreenShotEP12PacketHeader	DIFF	0x2c8	DNFPacketTranslater.cpp
CPacketTranslater::OnAddBuddyDBReply(PacketHeader*)	_ZN17CPacketTranslater17OnAddBuddyDBReplyEP12PacketHeader	DIFF	0x2c0	DNFPacketTranslater.cpp
CPacketTranslater::OnCharacterDelete(PacketHeader*)	_ZN17CPacketTranslater17OnCharacterDeleteEP12PacketHeader	DIFF	0x25b	DNFPacketTranslater.cpp
CPacketTranslater::OnDelBuddyDBReply(PacketHeader*)	_ZN17CPacketTranslater17OnDelBuddyDBReplyEP12PacketHeader	DIFF	0x25d	DNFPacketTranslater.cpp
CPacketTranslater::OnEventItemUpdate(PacketHeader*)	_ZN17CPacketTranslater17OnEventItemUpdateEP12PacketHeader	DIFF	0x328	DNFPacketTranslater.cpp
CPacketTranslater::OnGameServerRegist(PacketHeader*)	_ZN17CPacketTranslater18OnGameServerRegistEP12PacketHeader	DIFF	0x2ae	DNFPacketTranslater.cpp
CPacketTranslater::OnInnerPacketLogin(PacketHeader*)	_ZN17CPacketTranslater18OnInnerPacketLoginEP12PacketHeader	DIFF	0x38f	DNFPacketTranslater.cpp
CPacketTranslater::OnMemberEnterReply(PacketHeader*)	_ZN17CPacketTranslater18OnMemberEnterReplyEP12PacketHeader	DIFF	0xc32	DNFPacketTranslater.cpp
CPacketTranslater::OnRegisterEventIdx(PacketHeader*)	_ZN17CPacketTranslater18OnRegisterEventIdxEP12PacketHeader	DIFF	0x16a	DNFPacketTranslater.cpp
CPacketTranslater::OnReplyQueryMember(PacketHeader*)	_ZN17CPacketTranslater18OnReplyQueryMemberEP12PacketHeader	DIFF	0x225	DNFPacketTranslater.cpp
CPacketTranslater::OnRequestBlackList(PacketHeader*)	_ZN17CPacketTranslater18OnRequestBlackListEP12PacketHeader	DIFF	0x207	DNFPacketTranslater.cpp
CPacketTranslater::OnSetCleanPadPoint(PacketHeader*)	_ZN17CPacketTranslater18OnSetCleanPadPointEP12PacketHeader	DIFF	0x3b0	DNFPacketTranslater.cpp
CPacketTranslater::onIPCounterControl(PacketHeader*)	_ZN17CPacketTranslater18onIPCounterControlEP12PacketHeader	DIFF	0x24b	DNFPacketTranslater.cpp
