demangled	mangled	status	orig_size	tu
CTcpHandler::CTcpHandler()	_ZN11CTcpHandlerC1Ev	DIFF	0x4c	DNFTcpHandler.cpp
CTcpHandler::CTcpHandler()	_ZN11CTcpHandlerC2Ev	DIFF	0x4c	DNFTcpHandler.cpp
CUdpHandler::InitClientSocket()	_ZN11CUdpHandler16InitClientSocketEv	DIFF	0xa2	DNFUdpHandler.cpp
CUdpHandler::InitServerSocket(int)	_ZN11CUdpHandler16InitServerSocketEi	DIFF	0x1b8	DNFUdpHandler.cpp
CPacketCounter<1000, 10240>::AfterProcess(int)	_ZN14CPacketCounterILi1000ELi10240EE12AfterProcessEi	DIFF	0x11d	DNFPacketDecoder.cpp
CPacketCounter<1000, 10240>::IncrementPacketCount(int)	_ZN14CPacketCounterILi1000ELi10240EE20IncrementPacketCountEi	DIFF	0x5f	DNFPacketDecoder.cpp
CPacketDecoder::TcpProcess()	_ZN14CPacketDecoder10TcpProcessEv	DIFF	0x333	DNFPacketDecoder.cpp
CPacketDecoder::UdpProcess()	_ZN14CPacketDecoder10UdpProcessEv	DIFF	0x32e	DNFPacketDecoder.cpp
CPacketDecoder::Attach(CApplication*)	_ZN14CPacketDecoder6AttachEP12CApplication	DIFF	0xa8	DNFPacketDecoder.cpp
CPacketDecoder::MsgDecode(PacketHeader*)	_ZN14CPacketDecoder9MsgDecodeEP12PacketHeader	DIFF	0x1f8	DNFPacketDecoder.cpp
CUdpHandler::SendToClient(char*, int, unsigned short, char const*, unsigned int) const	_ZNK11CUdpHandler12SendToClientEPcitPKcj	DIFF	0x309	DNFUdpHandler.cpp
CUdpHandler::SendToServer(char*, int, unsigned short, char const*) const	_ZNK11CUdpHandler12SendToServerEPcitPKc	DIFF	0x27b	DNFUdpHandler.cpp
CUdpHandler::RecvFromClient(char*, int*, unsigned int*, unsigned short*) const	_ZNK11CUdpHandler14RecvFromClientEPcPiPjPt	DIFF	0x273	DNFUdpHandler.cpp
CUdpHandler::RecvFromServer(char*, int*, unsigned int*, unsigned short*) const	_ZNK11CUdpHandler14RecvFromServerEPcPiPjPt	DIFF	0x25d	DNFUdpHandler.cpp
