demangled	mangled	status	orig_size	tu
momiji_event::EndEffectTask::_DoExecute()	_ZN12momiji_event13EndEffectTask10_DoExecuteEv	DIFF	0x121	Arad_MomijiEvent.cpp
village_attacked::SetGMConfig(unsigned int, unsigned int, unsigned int)	_ZN16village_attacked11SetGMConfigEjjj	DIFF	0x12d	VillageAttackedManager.cpp
village_attacked::CVillageAttackedManager::OnSchedule()	_ZN16village_attacked23CVillageAttackedManager10OnScheduleEv	DIFF	0x270	VillageAttackedManager.cpp
village_attacked::CVillageAttackedManager::InsertTimer(int, int)	_ZN16village_attacked23CVillageAttackedManager11InsertTimerEii	DIFF	0x1bd	VillageAttackedManager.cpp
village_attacked::CVillageAttackedManager::SendMinTime()	_ZN16village_attacked23CVillageAttackedManager11SendMinTimeEv	DIFF	0x9f	VillageAttackedManager.cpp
village_attacked::CVillageAttackedManager::SendCharacRank()	_ZN16village_attacked23CVillageAttackedManager14SendCharacRankEv	DIFF	0x3a5	VillageAttackedManager.cpp
village_attacked::CVillageAttackedManager::GetHuntingPoint(unsigned int)	_ZN16village_attacked23CVillageAttackedManager15GetHuntingPointEj	DIFF	0x70	VillageAttackedManager.cpp
village_attacked::CVillageAttackedManager::SetRewardCloseTime(ENUM_VILLAGE_ATTACKED_REWARD)	_ZN16village_attacked23CVillageAttackedManager18SetRewardCloseTimeE28ENUM_VILLAGE_ATTACKED_REWARD	DIFF	0x4f	VillageAttackedManager.cpp
village_attacked::CVillageAttackedManager::UpdateHuntingPoint(CUser**, bool, int*, unsigned int*)	_ZN16village_attacked23CVillageAttackedManager18UpdateHuntingPointEPP5CUserbPiPj	DIFF	0x211	VillageAttackedManager.cpp
village_attacked::CVillageAttackedManager::SendMaxHuntingPoint()	_ZN16village_attacked23CVillageAttackedManager19SendMaxHuntingPointEv	DIFF	0x98	VillageAttackedManager.cpp
village_attacked::CVillageAttackedManager::OnEndVillageAttacked()	_ZN16village_attacked23CVillageAttackedManager20OnEndVillageAttackedEv	DIFF	0x147	VillageAttackedManager.cpp
village_attacked::CVillageAttackedManager::SendFirstRankerReward(unsigned int)	_ZN16village_attacked23CVillageAttackedManager21SendFirstRankerRewardEj	DIFF	0x9e	VillageAttackedManager.cpp
village_attacked::CVillageAttackedManager::OnStartVillageAttacked()	_ZN16village_attacked23CVillageAttackedManager22OnStartVillageAttackedEv	DIFF	0x6e	VillageAttackedManager.cpp
village_attacked::CVillageAttackedManager::OnUpdateVillageAttacked()	_ZN16village_attacked23CVillageAttackedManager23OnUpdateVillageAttackedEv	DIFF	0x61	VillageAttackedManager.cpp
village_attacked::CVillageAttackedManager::SendVillageAttackedScore(CUser*)	_ZN16village_attacked23CVillageAttackedManager24SendVillageAttackedScoreEP5CUser	DIFF	0xb8	VillageAttackedManager.cpp
village_attacked::CVillageAttackedManager::SendRequestRevengeDungeon(char*)	_ZN16village_attacked23CVillageAttackedManager25SendRequestRevengeDungeonEPc	DIFF	0x2b	VillageAttackedManager.cpp
village_attacked::CVillageAttackedManager::OnCountdownVillageAttacked(int)	_ZN16village_attacked23CVillageAttackedManager26OnCountdownVillageAttackedEi	DIFF	0x63	VillageAttackedManager.cpp
village_attacked::CVillageAttackedManager::OnServerGroupRewardVillageAttacked()	_ZN16village_attacked23CVillageAttackedManager34OnServerGroupRewardVillageAttackedEv	DIFF	0x258	VillageAttackedManager.cpp
